"adat_SINs" "RedCap_SINs"
"372" "STEP1157-F-V1-HT1" "STEP1157-V1-F-HT1"
"373" "STEP2680-F-V1-R-HT1" "STEP2680-V1-F-R-HT1"
"375" "STEP1452-F-V1-HT1" "STEP1452-V1-F-HT1"
"376" "STEP2620-F-V1-R-HT1" "STEP2620-V1-F-R-HT1"
"377" "STEP1743-F-V1-HT1" "STEP1743-V1-F-HT1"
"378" "STEP2348-F-V1-HT1" "STEP2348-V1-F-HT1"
"379" "STEP1833-F-V1-HT1" "STEP1833-V1-F-HT1"
"380" "STEP1152-F-V1-HT1" "STEP1152-V1-F-HT1"
"382" "STEP1794-F-V1-HT1" "STEP1794-V1-F-HT1"
"383" "STEP2040-F-V1-R-HT1" "STEP2040-V1-F-R-HT1"
"384" "STEP2560-F-V1-L-HT1" "STEP2560-V1-F-L-HT1"
"385" "STEP2614-F-V1-R-HT1" "STEP2614-V1-F-R-HT1"
"386" "STEP2625-F-V1-L-HT1" "STEP2625-V1-F-L-HT1"
"388" "STEP2326-F-V1-R-HT1" "STEP2326-V1-F-R-HT1"
"390" "STEP1441-F-V1-HT1" "STEP1441-V1-F-HT1"
"391" "STEP2322-F-V1-R-HT1" "STEP2322-V1-F-R-HT1"
"392" "STEP1136-F-V1-HT1" "STEP1136-V1-F-HT1"
"394" "STEP1924-F-V1-HT1" "STEP1924-V1-F-HT1"
"395" "STEP1948-F-V1-HT1" "STEP1948-V1-F-HT1"
"396" "STEP2126-F-V1-R-HT1" "STEP2126-V1-F-R-HT1"
"397" "STEP1921-F-V1-HT1" "STEP1921-V1-F-HT1"
"398" "STEP2509-F-V1-R-HT1" "STEP2509-V1-F-R-HT1"
"399" "STEP2216-F-V1-L-HT1" "STEP2216-V1-F-L-HT1"
"400" "STEP1383-F-V1-HT1" "STEP1383-V1-F-HT1"
"401" "STEP1879-F-V1-HT1-SP" "STEP1879-V1-F-HT1-SP"
"403" "STEP1192-F-V1-HT1" "STEP1192-V1-F-HT1"
"404" "STEP1948-F-V7-HT1" "STEP1948-V7-F-HT1"
"405" "STEP1782-F-V1-HT1" "STEP1782-V1-F-HT1"
"406" "STEP2561-F-V5-L-HT1" "STEP2561-V5-F-L-HT1"
"407" "STEP2529-F-V1-L-HT1" "STEP2529-V1-F-L-HT1"
"408" "STEP2532-F-V1-R-HT1" "STEP2532-V1-F-R-HT1"
"409" "STEP1332-F-V1-HT1" "STEP1332-V1-F-HT1"
"410" "STEP1802-F-V1-HT1" "STEP1802-V1-F-HT1"
"411" "STEP2435-F-V3-R-HT1" "STEP2435-V3-F-R-HT1"
"412" "STEP2631-F-V1-R-HT1" "STEP2631-V1-F-R-HT1"
"413" "STEP1507-F-V1-HT1" "STEP1507-V1-F-HT1"
"414" "STEP1832-F-V3-HT1" "STEP1832-V3-F-HT1"
"415" "STEP2241-F-V1-L-HT1" "STEP2241-V1-F-L-HT1"
"416" "STEP1412-F-V1-HT1" "STEP1412-V1-F-HT1"
"417" "STEP2584-F-V1-R-HT1" "STEP2584-V1-F-R-HT1"
"418" "STEP2101-F-V9-R-HT1" "STEP2101-V9-F-R-HT1"
"420" "STEP1227-F-V1-HT1" "STEP1227-V1-F-HT1"
"421" "STEP1653-F-V1-HT1" "STEP1653-V1-F-HT1"
"422" "STEP1262-F-V1-HT1" "STEP1262-V1-F-HT1"
"423" "STEP1254-F-V1-HT1" "STEP1254-V1-F-HT1"
"424" "STEP2535-F-V1-L-HT1" "STEP2535-V1-F-L-HT1"
"425" "STEP2376-F-V1-HT1" "STEP2376-V1-F-HT1"
"426" "STEP2437-F-V3-R-HT1" "STEP2437-V3-F-R-HT1"
"427" "STEP2521-F-V5-L-HT1" "STEP2521-V5-F-L-HT1"
"429" "STEP1730-F-V1-HT1" "STEP1730-V1-F-HT1"
